City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Torbay,CA,47.6666,-52.7314,37.99,100,90,25.32,light rain
80,Butaritari,KI,3.0707,172.7902,83.43,72,76,8.72,broken clouds
81,Toora-Khem,RU,52.4675,96.11,39.63,90,100,4.54,light rain
82,Gobabis,NA,-22.45,18.9667,51.26,32,0,8.84,clear sky
83,Atuona,PF,-9.8,-139.0333,79.43,68,4,1.86,clear sky
84,Cabo San Lucas,MX,22.8909,-109.9124,73.0,76,0,6.24,clear sky
85,Broome,US,42.2506,-75.833,36.0,100,90,14.97,light snow
86,Cockburn Town,TC,21.4612,-71.1419,78.46,73,69,13.33,broken clouds
87,Yerbogachen,RU,61.2767,108.0108,35.91,97,100,6.69,snow
88,Vanavara,RU,60.34,102.2797,41.13,76,66,9.73,broken clouds
89,Esperance,AU,-33.8667,121.9,62.6,67,75,9.22,broken clouds
90,Diofior,SN,14.1833,-16.6667,77.0,69,0,9.22,clear sky
91,Portobelo,PA,9.55,-79.65,78.01,79,100,5.23,overcast clouds
92,Chuy,UY,-33.6971,-53.4616,59.83,95,100,6.78,overcast clouds
93,Hithadhoo,MV,-0.6,73.0833,84.06,71,82,6.53,broken clouds
94,Qaanaaq,GL,77.484,-69.3632,27.52,52,92,8.52,overcast clouds
95,Sioux Lookout,CA,50.1001,-91.917,46.4,31,90,4.61,overcast clouds
96,Terra Santa,BR,-2.1042,-56.4869,74.03,96,100,1.63,overcast clouds
97,Thompson,CA,55.7435,-97.8558,32.0,100,90,9.22,snow
98,Leningradskiy,RU,69.3833,178.4167,19.83,92,100,22.3,light snow
99,Kavieng,PG,-2.5744,150.7967,84.43,68,28,6.82,light rain
100,Anzio,IT,41.4853,12.6179,62.01,94,100,1.01,overcast clouds
101,Kodiak,US,57.79,-152.4072,46.4,71,1,8.05,clear sky
102,Ust-Kuyga,RU,70.0167,135.6,33.44,97,67,3.85,broken clouds
103,Fortuna,US,40.5982,-124.1573,53.01,100,1,3.38,clear sky
104,Katav-Ivanovsk,RU,54.7531,58.1956,49.86,49,64,9.53,broken clouds
105,Bow Island,CA,49.8668,-111.3684,62.6,34,16,16.11,few clouds
106,Roald,NO,62.5833,6.1333,35.6,87,15,3.44,few clouds
107,The Valley,AI,18.217,-63.0578,78.8,73,20,10.36,few clouds
108,Martinsburg,US,39.4562,-77.9639,48.2,34,1,16.11,clear sky
109,Tazovskiy,RU,67.4667,78.7,30.49,90,100,11.05,overcast clouds
110,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,79,20,10.36,few clouds
111,San Pedro,PH,14.35,121.0167,93.2,52,20,5.75,few clouds
112,Moose Factory,CA,51.2585,-80.6094,26.6,80,1,8.05,clear sky
113,Kurilsk,RU,45.2333,147.8833,34.54,91,100,21.7,overcast clouds
114,Nishihara,JP,26.1842,127.7558,82.4,74,75,14.97,broken clouds
115,Severo-Kurilsk,RU,50.6789,156.125,35.44,96,100,21.59,overcast clouds
116,Djambala,CG,-2.5447,14.7533,68.63,95,100,3.2,light rain
117,Ferrandina,IT,40.5012,16.4547,59.0,100,90,18.41,fog
118,Pacific Grove,US,36.6177,-121.9166,54.0,90,100,8.01,overcast clouds
119,Rocha,UY,-34.4833,-54.3333,53.47,79,100,5.86,overcast clouds
120,Tefe,BR,-3.3542,-64.7114,72.82,99,100,1.25,overcast clouds
121,Constitucion,CL,-35.3333,-72.4167,55.18,84,100,11.25,moderate rain
122,Kirakira,SB,-10.4544,161.9205,82.62,76,65,5.3,moderate rain
123,Praya,CV,14.9215,-23.5087,71.6,78,75,12.66,broken clouds
124,Naze,JP,28.3667,129.4833,78.8,73,40,21.85,scattered clouds
125,Codrington,AU,-38.2667,141.9667,73.65,39,100,13.8,light rain
126,Bethel,US,41.3712,-73.414,45.0,66,27,5.01,scattered clouds
127,Punta Cardon,VE,11.6581,-70.215,78.75,77,100,14.85,overcast clouds
128,Yellowknife,CA,62.456,-114.3525,30.2,100,90,10.36,light snow
129,Isangel,VU,-19.55,169.2667,84.2,70,75,5.75,broken clouds
130,Longyearbyen,SJ,78.2186,15.6401,12.2,67,20,13.8,few clouds
131,Karratha,AU,-20.7377,116.8463,91.85,26,0,12.8,clear sky
132,Solone,UA,48.2081,34.8721,50.0,87,0,6.71,clear sky
133,Batagay,RU,67.6333,134.6333,33.64,87,98,1.28,overcast clouds
134,Cape Town,ZA,-33.9258,18.4232,57.99,82,0,9.22,clear sky
135,Nikolskoye,RU,59.7035,30.7861,39.99,86,0,4.47,clear sky
