City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Conceicao Da Barra,BR,72.91,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
172,Buchanan,LR,75.2,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
176,Salalah,OM,80.6,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
178,Kattivakkam,IN,90.0,scattered clouds,13.2167,80.3167,Raj's villa
179,Altamira,BR,71.49,overcast clouds,-3.2033,-52.2064,Requinte Hotel
180,Saint George,US,86.0,haze,37.1041,-113.5841,Best Western Plus Abbey Inn
181,Brigham City,US,66.2,clear sky,41.5102,-112.0155,Best Western Brigham City Inn & Suites
182,Bambous Virieux,MU,79.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
184,Champerico,GT,69.01,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
185,Airai,TL,75.27,scattered clouds,-8.9266,125.4092,Juvinal Martin
189,Sao Joao Da Barra,BR,66.96,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
191,Carmen,MX,82.04,clear sky,18.6333,-91.8333,Hotel Lossandes
193,Guerrero Negro,MX,67.41,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
194,Hasaki,JP,75.0,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
195,Bayonet Point,US,75.99,broken clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
196,Auki,SB,84.22,overcast clouds,-8.7676,160.7034,Auki Motel
197,Guapiacu,BR,71.6,clear sky,-20.795,-49.2203,Chacara Rosa De Saron
198,Vao,NC,74.28,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
199,Caramay,PH,85.96,overcast clouds,10.1815,119.236,Peace and Love Beach Club
203,Cuajinicuilapa,MX,79.16,clear sky,16.4667,-98.4167,Pozo S. XVI
208,Coahuayana,MX,72.45,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
210,Puerto Escondido,MX,80.6,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
211,Bentiu,SS,80.02,overcast clouds,9.2333,29.8333,Mandela hôtel
212,Price,US,69.8,clear sky,39.5994,-110.8107,National 9 - Price River Inn
220,Bubaque,GW,79.11,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
223,Ampanihy,MG,68.74,clear sky,-24.7,44.75,Angora Hotel
227,Neiafu,TO,84.2,light rain,-18.65,-173.9833,Mystic Sands
230,Avarua,CK,78.8,broken clouds,-21.2078,-159.775,Paradise Inn
233,Atar,MR,77.88,clear sky,20.5169,-13.0499,Oumou Elghoura
236,Limulunga,ZM,65.03,overcast clouds,-15.0969,23.1376,Acamms Gardens
237,Burley,US,71.6,clear sky,42.5357,-113.7928,Fairfield Inn & Suites by Marriott Burley
238,Ishioka,JP,75.0,broken clouds,36.1833,140.2667,HOTEL SOSHA
239,Poum,NC,77.31,overcast clouds,-20.2333,164.0167,Gîte kajeon
240,Benguela,AO,78.24,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
241,Mecca,SA,85.19,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
242,Caravelas,BR,75.85,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
246,Kalmunai,LK,85.69,scattered clouds,7.4167,81.8167,VS Villa
247,Fallon,US,78.8,overcast clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
249,Victoria,HK,82.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
250,Riyadh,SA,73.4,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
251,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
253,Acari,PE,67.84,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
